call_bullshit_threshold,win_bool
0.092,1
0.748,0
0.324,0
0.429,0
0.061,0
0.868,1
0.57,0
0.645,1
0.864,0
0.449,0
0.356,0
0.283,1
0.021,1
0.601,0
0.497,0
0.301,0
0.677,1
0.947,0
0.167,1
0.58,0
0.277,0
0.317,1
0.705,0
0.742,0
0.399,1
0.227,0
0.741,0
0.632,1
0.43,0
0.065,0
0.09,1
0.65,0
0.279,0
0.475,0
0.606,1
0.348,0
0.345,0
0.049,1
0.685,0
0.082,0
0.072,0
0.067,1
0.182,1
0.633,0
0.59,0
0.265,1
0.276,0
0.407,0
0.37,1
0.304,0
0.486,0
0.895,0
0.547,1
0.382,0
0.35,0
0.056,1
0.049,0
0.343,0
0.865,0
0.174,1
0.098,0
0.914,1
0.597,0
0.758,1
0.413,0
0.046,0
0.469,0
0.805,0
0.107,1
0.306,1
0.423,0
0.532,0
0.968,1
0.969,0
0.712,0
0.797,0
0.626,0
0.316,1
0.318,0
0.857,0
0.51,1
0.1,0
0.013,1
0.171,0
0.432,1
0.802,0
0.929,0
0.688,0
0.685,1
0.854,0
0.221,0
0.753,1
0.05,0
0.585,0
0.081,1
0.084,0
0.055,1
0.426,0
0.22,0
0.809,0
0.462,0
0.382,1
0.768,0
0.68,0
0.672,1
0.283,0
0.941,0
0.167,1
0.755,1
0.545,0
0.042,0
0.543,1
0.631,0
0.347,0
0.198,1
0.818,0
0.546,0
0.54,1
0.371,0
0.599,0
0.838,0
0.798,0
0.386,1
0.927,0
0.797,1
0.636,0
0.225,1
0.364,0
0.345,0
0.994,1
0.095,0
0.353,0
0.634,0
0.691,0
0.368,1
0.265,1
0.088,0
0.969,0
0.284,0
0.635,0
0.282,1
0.742,0
0.348,0
0.729,1
0.412,0
0.544,1
0.231,0
0.77,0
0.503,1
0.597,0
0.022,0
0.663,1
0.923,0
0.612,0
0.822,1
0.513,0
0.282,0
0.858,0
0.129,1
0.739,0
0.422,1
0.637,0
0.59,0
0.764,0
0.144,1
0.017,1
0.377,0
0.151,0
0.696,0
0.828,1
0.569,0
0.709,0
0.762,0
0.86,1
0.174,0
0.845,0
0.7,1
0.959,1
0.131,0
0.302,0
0.066,1
0.916,0
0.315,0
0.42,1
0.391,0
0.811,0
0.257,0
0.845,1
0.119,0
0.735,1
0.8,0
0.006,0
0.662,0
0.851,0
0.173,1
0.77,1
0.698,0
0.725,0
0.251,0
0.842,1
0.794,0
0.363,0
0.302,1
0.392,0
0.651,1
0.998,0
0.892,0
0.143,1
0.087,0
0.831,0
0.102,0
0.194,0
0.746,1
0.203,1
0.628,0
0.803,0
0.036,1
0.078,0
0.875,0
0.419,0
0.506,1
0.426,0
0.605,1
0.963,0
0.199,0
0.596,0
0.392,0
0.057,1
0.227,0
0.005,1
0.172,0
0.244,1
0.117,0
0.196,0
0.761,1
0.163,0
0.313,0
0.683,0
0.994,0
0.51,1
0.459,0
0.087,1
0.491,0
0.375,1
0.096,0
0.078,0
0.303,1
0.381,0
0.271,0
0.23,0
0.663,1
0.788,0
0.168,1
0.076,0
0.086,0
0.611,0
0.898,0
0.875,1
0.952,0
0.705,1
0.499,0
0.915,0
0.313,0
0.224,1
0.659,1
0.034,0
0.821,0
0.166,1
0.803,0
0.385,0
0.562,0
0.516,0
0.649,1
0.3,0
0.337,1
0.451,0
0.032,1
0.449,0
0.943,0
0.345,1
0.052,0
0.877,0
0.817,0
0.374,0
0.174,1
0.103,1
0.303,0
0.544,0
0.711,0
0.266,1
0.478,0
0.983,1
0.824,0
0.393,0
0.686,0
0.329,0
0.005,1
0.149,1
0.857,0
0.432,0
0.376,0
0.588,0
0.772,1
0.004,1
0.038,0
0.941,0
0.548,1
0.456,0
0.789,0
0.501,0
0.702,0
0.386,1
0.28,0
0.522,1
0.104,0
0.984,0
0.782,1
0.883,0
0.942,1
0.179,0
0.584,0
0.676,0
0.328,1
0.028,0
0.097,0
0.098,1
0.004,0
0.838,0
0.116,0
0.715,1
0.015,1
0.108,0
0.837,0
0.934,1
0.522,0
0.365,0
0.468,0
0.155,1
0.738,0
0.294,0
0.73,1
0.632,0
0.013,1
0.325,0
0.48,0
0.044,1
0.833,0
0.59,0
0.964,0
0.419,1
0.377,0
0.193,1
0.667,0
0.317,0
0.584,0
0.024,1
0.096,0
0.851,0
0.641,1
0.387,0
0.938,1
0.602,0
0.499,0
0.439,1
0.655,0
0.45,0
0.071,0
0.803,1
0.914,0
0.26,0
0.426,0
0.263,1
0.772,0
0.088,1
0.297,0
0.166,1
0.558,0
0.938,0
0.737,0
0.131,0
0.506,1
0.568,0
0.653,1
0.757,0
0.679,1
0.872,0
0.399,0
0.957,0
0.331,0
0.612,1
0.035,1
0.795,0
0.721,0
0.11,0
0.917,1
0.674,0
0.471,0
0.392,1
0.514,0
0.31,1
0.832,0
0.851,0
0.89,0
0.471,1
0.504,0
0.226,1
0.536,0
0.972,0
0.407,0
0.039,0
0.925,1
0.2,1
0.414,0
0.265,0
0.695,0
0.07,0
0.947,1
0.776,0
0.926,0
0.758,1
0.703,1
0.513,0
0.406,0
0.015,0
0.356,1
0.677,0
0.732,0
0.759,1
0.448,0
0.553,0
0.047,1
0.268,0
0.368,0
0.495,0
0.748,1
0.716,0
0.586,1
0.52,0
0.86,0
0.035,1
0.244,0
0.085,1
0.6,0
0.763,0
0.725,1
0.206,0
0.569,0
0.524,0
0.166,0
0.24,1
0.6,0
0.249,1
0.876,0
0.783,1
0.074,0
0.039,0
0.322,0
0.16,1
0.471,0
0.682,0
0.77,1
0.897,0
0.56,0
0.605,0
0.011,1
0.21,0
0.946,1
0.671,0
0.457,1
0.964,0
0.572,0
0.504,0
0.064,0
0.115,1
0.733,1
0.126,0
0.914,0
0.56,1
0.353,0
0.593,0
0.535,0
0.517,0
0.915,1
0.509,0
0.642,0
0.844,1
0.434,0
0.754,1
0.227,0
0.267,0
0.519,0
0.788,1
0.058,0
0.859,1
0.159,0
0.386,0
0.43,1
0.676,0
0.574,1
0.603,0
0.505,0
0.411,0
0.514,1
0.549,0
0.282,1
0.872,0
0.025,0
0.753,0
0.645,0
0.259,1
0.26,0
0.735,0
0.208,1
0.65,1
0.493,0
0.988,0
0.656,0
0.932,0
0.453,1
0.816,0
0.631,0
0.064,1
0.038,1
0.61,0
0.204,0
0.025,0
0.676,1
0.16,0
0.501,0
0.563,1
0.771,0
0.279,1
0.681,0
0.21,0
0.335,0
0.416,0
0.247,1
0.267,0
0.534,1
0.099,0
0.481,1
0.371,0
0.533,0
0.494,0
0.327,1
0.943,0
0.245,0
0.941,1
0.515,0
0.033,0
0.294,0
0.127,1
0.184,1
0.175,0
0.464,0
0.537,0
0.924,0
0.854,1
0.847,1
0.791,0
0.857,0
0.781,0
0.027,0
0.197,1
0.276,0
0.086,0
0.348,1
0.759,1
0.756,0
0.37,0
0.57,0
0.16,1
0.209,0
0.983,0
0.987,0
0.736,1
0.418,0
0.982,1
0.144,0
0.234,1
0.98,0
0.519,0
0.613,0
0.147,1
0.603,0
0.881,0
0.143,0
0.572,1
0.897,0
0.492,1
0.147,0
0.066,1
0.781,0
0.419,0
0.056,0
0.347,1
0.828,0
0.032,0
0.227,0
0.565,1
0.629,1
0.857,0
0.038,0
0.131,0
0.468,0
0.309,1
0.649,1
0.153,0
0.143,0
0.098,1
0.988,0
0.873,0
0.18,1
0.247,0
0.167,0
0.793,0
0.87,1
0.198,0
0.027,0
0.834,1
0.556,0
0.348,1
0.224,0
0.838,0
0.297,1
0.721,0
0.491,0
0.37,1
0.914,0
0.991,0
0.725,0
0.39,0
0.162,1
0.558,0
0.673,1
0.047,0
0.548,1
0.116,0
0.508,0
0.777,1
0.499,0
0.496,0
0.078,1
0.408,0
0.802,0
0.127,1
0.504,0
0.97,0
0.876,1
0.393,0
0.73,0
0.549,0
0.462,0
0.033,1
0.096,0
0.269,0
0.116,1
0.548,0
0.299,0
0.375,1
0.686,1
0.959,0
0.284,0
0.485,1
0.782,0
0.47,0
0.003,1
0.756,0
0.643,0
0.559,0
0.553,0
0.393,1
0.777,0
0.79,0
0.974,1
0.603,0
0.608,1
0.71,0
0.948,1
0.0,0
0.611,0
0.331,0
0.267,1
0.687,0
0.039,1
0.199,0
0.396,0
0.952,1
0.357,0
0.628,0
0.151,1
0.325,0
0.917,0
0.396,0
0.594,0
0.662,1
0.066,0
0.223,0
0.132,1
0.141,0
0.373,1
0.949,0
0.295,0
0.694,1
0.617,0
0.661,1
0.612,0
0.341,0
0.366,0
0.207,0
0.798,1
0.535,0
0.696,0
0.809,1
0.914,0
0.206,0
0.498,1
0.721,0
0.289,1
0.084,0
0.139,0
0.765,0
0.146,1
0.729,0
0.015,1
0.63,0
0.598,1
0.572,0
0.598,0
0.433,0
0.969,1
0.555,0
0.452,0
0.421,0
0.952,1
0.363,1
0.111,0
0.12,0
0.695,0
0.697,1
0.446,0
0.016,0
0.408,1
0.905,0
0.444,0
0.334,1
0.433,0
0.533,1
0.971,0
0.28,0
0.234,0
0.709,0
0.539,1
0.964,0
0.095,0
0.743,1
0.648,0
0.681,0
0.937,1
0.321,1
0.176,0
0.577,0
0.572,0
0.577,1
0.891,0
0.054,0
0.625,0
0.344,1
0.794,1
0.736,0
0.677,0
0.343,0
0.264,1
0.07,0
0.177,0
0.038,0
0.413,1
0.607,0
0.42,1
0.84,0
0.586,1
0.925,0
0.515,0
0.79,1
0.02,0
0.054,0
0.38,0
0.18,0
0.055,1
0.099,1
0.841,0
0.626,0
0.467,0
0.081,1
0.072,0
0.302,0
0.011,0
0.789,1
0.763,0
0.945,1
0.764,0
0.093,0
0.343,0
0.902,1
0.419,1
0.148,0
0.363,0
0.109,1
0.303,0
0.004,0
0.014,0
0.471,1
0.349,0
0.163,1
0.972,0
0.469,0
0.996,0
0.5,0
0.449,1
0.407,1
0.706,0
0.635,0
0.108,0
0.698,1
0.174,0
0.99,0
0.826,1
0.92,0
0.085,0
0.018,1
0.15,0
0.369,0
0.215,0
0.793,1
0.433,0
0.781,0
0.958,1
0.069,0
0.417,1
0.175,0
0.702,0
0.745,0
0.623,1
0.642,0
0.406,1
0.084,0
0.655,0
0.129,1
0.002,0
0.969,0
0.108,1
0.477,0
0.904,0
0.529,0
0.565,1
0.646,0
0.152,1
0.382,0
0.344,1
0.523,0
0.691,0
0.18,1
0.806,0
0.687,0
0.494,0
0.585,0
0.93,1
0.295,0
0.163,1
0.215,0
0.014,1
0.844,0
0.789,0
0.877,0
0.512,1
0.001,0
0.709,0
0.059,1
0.771,0
0.803,1
0.799,0
0.345,0
0.229,1
0.969,0
0.449,0
0.24,0
0.277,1
0.629,0
0.536,0
0.214,1
0.417,0
0.541,0
0.171,0
0.737,1
0.239,0
0.385,0
0.662,1
0.67,1
0.27,0
0.911,0
0.048,1
0.394,0
0.204,0
0.971,0
0.024,1
0.429,0
0.302,1
0.755,0
0.771,0
0.693,1
0.004,0
0.3,0
0.854,1
0.667,0
0.549,0
0.759,1
0.272,0
0.11,0
0.797,0
0.521,0
0.213,1
0.032,0
0.335,1
0.965,0
0.409,1
0.525,0
0.509,0
0.024,0
0.182,0
0.331,1
0.406,0
0.056,0
0.343,1
0.639,1
0.251,0
0.25,0
0.855,0
0.033,1
0.042,0
0.907,0
0.499,1
0.106,0
0.451,1
0.583,0
0.584,0
0.301,0
0.078,1
0.641,0
0.435,0
0.875,1
0.354,0
0.553,1
0.327,0
0.312,0
0.21,1
0.032,0
0.052,0
0.729,0
0.185,1
0.737,0
0.889,0
0.035,0
0.435,1
0.829,0
0.772,1
0.994,0
0.265,1
0.418,0
0.177,0
0.197,0
0.673,1
0.085,0
0.411,0
0.452,1
0.862,0
0.446,0
0.25,1
0.778,0
0.315,1
0.694,0
0.341,0
0.718,1
0.936,0
0.409,0
0.779,0
0.308,1
0.348,0
0.293,0
0.478,1
0.567,0
0.797,1
0.53,0
0.61,0
0.823,0
0.619,0
0.089,1
0.157,0
0.15,1
0.569,0
0.539,1
0.471,0
0.644,0
0.634,0
0.322,1
0.878,0
0.54,1
0.227,0
0.838,0
0.916,0
0.387,0
0.984,1
0.167,1
0.011,0
0.232,0
0.713,1
0.222,0
0.113,0
0.159,0
0.933,1
0.072,0
0.202,1
0.621,0
0.407,0
0.526,1
0.733,0
0.048,0
0.446,0
0.782,1
0.51,0
0.874,0
0.872,1
0.791,0
0.635,1
0.378,0
0.448,0
0.298,1
0.759,0
0.815,0
0.663,1
0.218,0
0.168,0
0.737,0
0.607,0
0.243,1
0.168,0
0.214,1
0.944,0
0.903,0
0.365,1
0.966,0
0.283,1
0.6,0
0.203,0
0.301,1
0.651,0
0.531,0
0.08,0
0.636,0
0.619,1
0.384,1
0.568,0
0.07,0
0.888,1
0.953,0
0.69,0
0.715,0
0.097,1
0.885,0
0.847,0
0.719,1
0.388,0
0.052,0
0.401,1
0.962,0
0.756,1
0.414,0
0.843,0
0.321,0
0.391,0
0.93,1
0.081,1
0.813,0
0.151,0
0.173,1
0.039,0
0.9,0
0.641,0
0.992,0
0.978,1
0.223,0
0.243,1
0.052,0
0.402,0
0.59,1
0.806,0
0.409,0
0.573,1
0.898,0
0.2,1
0.499,0
0.944,0
0.297,0
0.061,1
0.704,0
0.747,0
0.786,1
0.275,0
0.773,0
0.176,1
0.825,0
0.217,1
0.142,0
0.875,0
0.639,0
0.808,0
0.261,1
0.623,1
0.131,0
0.208,0
0.439,0
0.146,1
0.474,0
0.966,0
0.677,0
0.775,1
0.357,1
0.178,0
0.879,0
0.598,0
0.54,1
0.086,0
0.157,1
0.808,0
0.231,0
0.359,1
0.951,0
0.092,0
0.131,0
0.037,0
0.121,1
0.651,1
0.893,0
0.92,0
0.231,1
0.507,0
0.94,0
0.882,0
0.312,0
0.873,1
0.59,0
0.312,0
0.54,1
0.071,0
0.452,0
0.586,1
0.385,1
0.998,0
0.661,0
0.615,0
0.068,1
0.967,0
0.665,0
0.282,0
0.084,1
0.156,0
0.201,0
0.37,1
0.851,0
0.931,0
0.117,1
0.827,0
0.197,0
0.796,1
0.437,0
0.706,0
0.064,1
0.481,0
0.044,0
0.241,1
0.273,0
0.775,1
0.133,0
0.289,0
0.502,1
0.391,0
0.397,0
0.522,1
0.52,0
0.197,0
0.03,1
0.975,0
0.317,0
0.956,1
0.871,0
0.148,1
0.739,0
0.392,0
0.566,0
0.528,1
0.757,0
0.473,0
0.336,1
0.061,0
0.155,0
0.024,1
0.536,0
0.993,0
0.935,1
0.221,0
0.807,0
0.692,1
0.713,0
0.604,1
0.526,0
0.66,0
0.067,1
0.41,0
0.004,0
0.173,1
0.4,0
0.703,0
0.539,0
0.508,1
0.941,0
0.154,0
0.95,1
0.256,0
0.745,1
0.336,0
0.423,0
0.924,1
0.271,0
0.608,0
0.039,1
0.075,0
0.978,0
0.965,0
0.172,0
0.57,1
0.139,0
0.884,1
0.722,0
0.439,0
0.752,1
0.075,0
0.235,1
0.33,0
0.256,0
0.981,1
0.708,0
0.326,0
0.074,0
0.925,1
0.633,0
0.519,1
0.832,0
0.833,0
0.831,0
0.713,0
0.434,1
0.067,0
0.674,0
0.622,1
0.017,0
0.965,0
0.061,1
0.941,1
0.502,0
0.513,0
0.625,0
0.268,1
0.129,0
0.254,1
0.96,0
0.272,0
0.474,1
0.694,0
0.933,0
0.268,1
0.953,0
0.119,0
0.624,1
0.079,0
0.134,0
0.009,1
0.065,0
0.398,0
0.704,0
0.693,1
0.795,0
0.087,0
0.677,1
0.296,0
0.93,0
0.751,1
0.473,0
0.513,0
0.278,0
0.351,1
0.687,1
0.932,0
0.607,0
0.43,0
0.547,1
0.077,0
0.404,0
0.936,1
0.851,0
0.317,1
0.83,0
0.281,0
0.262,1
0.917,0
0.053,0
0.199,1
0.673,0
0.926,0
0.801,0
0.426,0
0.209,1
0.347,1
0.21,0
0.451,0
0.419,1
0.281,0
0.497,0
0.639,0
0.236,1
0.245,0
0.92,0
0.017,1
0.156,0
0.078,0
0.193,0
0.564,1
0.335,0
0.889,0
0.661,1
0.863,0
0.488,0
0.113,1
0.684,0
0.146,1
0.544,0
0.557,0
0.273,1
0.286,0
0.261,0
0.66,0
0.488,1
0.789,1
0.615,0
0.591,0
0.591,1
0.849,0
0.573,0
0.855,0
0.807,1
0.528,0
0.585,0
0.582,0
0.033,1
0.135,1
0.242,0
0.765,0
0.833,1
0.048,0
0.699,0
0.689,1
0.673,0
0.29,0
